KEY,en,notes,sp,fr,de,it,pt-br
SETTINGS_SAVEFILEBACKUP_OPT_60,1 hr,,1 h,1&nbsp;h,1 Std.,1 ora,1h
SETTINGS_SAVEFILEBACKUP_OPT_120,2 hr,,2 h,2&nbsp;h,2 Std.,2 ore,2h
SETTINGS_SAVEFILEBACKUP_OPT_0,Never,,Nunca,Jamais,Nie,Mai,Nunca
SETTINGS_VIDEO_HEADER,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo
SETTINGS_FULLSCREEN_LABEL,Fullscreen,,Pantalla completa,Plein écran,Vollbild,Schermo intero,Tela cheia
SETTINGS_ANTIALIAS_LABEL,Antialias (MSAA),,Antialiasing (MSAA),Anticrénelage (MSAA),Antialiasing (MSAA),Antialias (MSAA),Antialiasing (MSAA)
SETTINGS_ANTIALIAS_OPT_0,Off,,No,Désactivé,Aus,Disattivato,Não
SETTINGS_VSYNC_LABEL,VSync,,Sincronización vertical,Synchronisation verticale,VSync,V-Sync,VSync
SETTINGS_RENDERSCALE_LABEL,Render Scale,,Escala de renderizado,Échelle de rendu,Render-Skalierung,Scala di rendering,Escala de renderização
SETTINGS_VIGNETTE_LABEL,Vignette Flicker,,Parpadeo de viñeta,Effet de vignette clignotant,Vignette-Flimmern,Sfarfallio della vignettatura,Tremor de vinheta
SETTINGS_VIGNETTE_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal
SETTINGS_VIGNETTE_OPT_LOW,Low,,Bajo,Faible,Niedrig,Basso,Baixo
SETTINGS_VIGNETTE_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum
SETTINGS_NOISEGRAIN_LABEL,Noise & Grain,,Ruido y granulado,Effets de bruit et de grain,Rauschen & Körnung,Rumore e grana,Interferência e granulação
SETTINGS_NOISEGRAIN_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal
SETTINGS_NOISEGRAIN_OPT_MEDIUM,No Hair,,Sin pelo,Pas de cheveux,Keine Haare,Niente peli,Sem pelos
SETTINGS_NOISEGRAIN_OPT_LOW,No Dust,,Sin polvo,Pas de poussière,Keine Staubkörner,Niente polvere,Sem poeira
SETTINGS_NOISEGRAIN_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum
SETTINGS_CURSORMODE_LABEL,Cursor Mode,,Modo de cursor,Mode curseur,Mauszeigermodus,Modalità cursore,Modo de cursor
SETTINGS_CURSORMODE_OPT_INGAME,In Game,,Juego,En jeu,Spiel,Di gioco,Jogo
SETTINGS_CURSORMODE_OPT_DEVICE,Device,,Dispositivo,Appareil,Gerät,Del dispositivo,Dispositivo
SETTINGS_AUDIO_HEADER,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio
SETTINGS_MASTERVOLUME,Master Volume,,Volumen principal,Volume principal,Gesamtlautstärke,Volume principale,Volume principal
SETTINGS_MUSICVOLUME,Music Volume,,Volumen de música,Musique,Musik,Volume musica,Volume da música
SETTINGS_SFXVOLUME,SFX Volume,,Volumen de efectos,Effets sonores,Soundeffekte,Volume effetti sonori,Volume de efeitos
SETTINGS_MEOWVOLUME,Meow Volume,,Volumen de maullidos,Miaulements,Miauen,Volume miagolii,Volume de miados
SETTINGS_HOUSEMEOWVOLUME,Meow Volume (House),,Volumen de maullidos (casa),Miaulements (maison),Miauen (im Haus),Volume miagolii (in casa),Volume de miados (casa)
SETTINGS_KEYCONTROLS_HEADER,Keyboard Controls,,Controles de teclado,Commandes au clavier,Tastatur,Controlli tastiera,Teclado
SETTINGS_PADCONTROLS_HEADER,Gamepad Controls,,Controles de mando,Commandes à la manette,Gamepad,Controlli gamepad,Controle
SETTINGS_CONTROLS_GENERAL_COLUMNHEADER,General,,General,En général,Allgemein,Generale,Geral
SETTINGS_CONTROLS_HOTKEYS_COLUMNHEADER,Combat Hotkeys,,Atajos de combate,En combat,Kampf,Tasti di scelta rapida combattimento,Teclas rápidas de combate
SETTINGS_CONTROLS_ACTIONS_COLUMNHEADER,Actions,,Acciones,Actions,Aktionen,Azioni,Ações
SETTINGS_CONTROLS_RESET,Reset Defaults,,Restaurar por defecto,Par défaut,Zurücksetzen,Ripristina predefiniti,Restaurar padrões
SETTINGS_CONTROLBINDING_SELECT,Select,,Seleccionar,Sélectionner,Auswählen,Seleziona,Selecionar
SETTINGS_CONTROLBINDING_EXAMINE,Examine,,Examinar,Examiner,Untersuchen,Esamina,Examinar
SETTINGS_CONTROLBINDING_TACTIVALVIEW,Tactical View,,Vista táctica,Vue tactique,Taktische Ansicht,Visuale tattica,Visão tática
SETTINGS_CONTROLBINDING_CANCEL,Cancel,,Cancelar,Annuler,Abbrechen,Annulla,Cancelar
SETTINGS_CONTROLBINDING_PAUSE,Pause,,Pausa,Mettre en pause,Pause,Pausa,Pausar
SETTINGS_CONTROLBINDING_ZOOMIN,Zoom In,,Acercar,Zoomer,Hereinzoomen,Zoom avanti,Aproximar
SETTINGS_CONTROLBINDING_ZOOMOUT,Zoom Out,,Alejar,Dézoomer,Herauszoomen,Zoom indietro,Afastar
SETTINGS_CONTROLBINDING_FLIPFURNITURE,Flip Furniture,,Girar mueble,Tourner les meubles,Möbel spiegeln,Capovolgi mobili,Virar móveis
SETTINGS_CONTROLBINDING_SKIPCUTSCENE,Skip Cutscene,,Omitir escena,Passer la cinématique,Zwischensequenz überspringen,Salta filmati,Pular cena
SETTINGS_CONTROLBINDING_HOTKEYMOVE,Move,,Movimiento,Se déplacer,Bewegen,Sposta,Mover
SETTINGS_CONTROLBINDING_HOTKEYWEAPON,Weapon,,Arma,Armes,Waffe,Arma,Arma
SETTINGS_CONTROLBINDING_HOTKEYTRINKET,Trinket,,Baratija,Babioles,Zubehör,Ciondolo,Acessório
SETTINGS_CONTROLBINDING_HOTKEYBASICATTACK,Basic Attack,,Ataque básico,Attaque de base,Grundangriff,Attacco base,Ataque básico
SETTINGS_CONTROLBINDING_HOTKEYSPELL1,Spell 1,,Hechizo 1,Sort&nbsp;1,Zauber 1,Incantesimo 1,Encantamento 1
SETTINGS_CONTROLBINDING_HOTKEYSPELL2,Spell 2,,Hechizo 2,Sort&nbsp;2,Zauber 2,Incantesimo 2,Encantamento 2
SETTINGS_CONTROLBINDING_HOTKEYSPELL3,Spell 3,,Hechizo 3,Sort&nbsp;3,Zauber 3,Incantesimo 3,Encantamento 3
SETTINGS_CONTROLBINDING_HOTKEYSPELL4,Spell 4,,Hechizo 4,Sort&nbsp;4,Zauber 4,Incantesimo 4,Encantamento 4
SETTINGS_CONTROLBINDING_HOTKEYSPELL5,Spell 5,,Hechizo 5,Sort&nbsp;5,Zauber 5,Incantesimo 5,Encantamento 5
SETTINGS_CONTROLBINDING_HOTKEYENDTURN,End Turn,,Terminar turno,Fin du tour,Zug beenden,Fine del turno,Finalizar turno
SETTINGS_CONTROLBINDING_CURSOR,Cursor,,Cursor,Curseur,Mauszeiger,Cursore,Cursor
SETTINGS_CONTROLBINDING_NAVLEFT,Nav Left,,Mover izquierda,Nav. à gauche,Nach links,Naviga a sinistra,Nav. esq
SETTINGS_CONTROLBINDING_NAVRIGHT,Nav Right,,Mover derecha,Nav. à droite,Nach rechts,Naviga a destra,Nav. dir
SETTINGS_CONTROLBINDING_NAVUP,Nav Up,,Mover arriba,Nav en haut,Nach oben,Naviga su,Nav. cima
SETTINGS_CONTROLBINDING_NAVDOWN,Nav Down,,Mover abajo,Nav. en bas,Nach unten,Naviga giù,Nav. baixo
SETTINGS_CONTROLBINDING_NAVFORWARD,Nav Forward,,Adelante,Nav. en avant,Nach vorn,Naviga in avanti,Nav. frente
SETTINGS_CONTROLBINDING_NAVBACKWARD,Nav Backward,,Atrás,Nav. en arrière,Zurück,Naviga indietro,Nav. trás
SETTINGS_CONTROLBINDING_INVENTORY,Inventory,,Inventario,Inventaire,Inventar,Inventario,Inventário
SETTINGS_CONTROLBINDING_PIPE,Pipe Shortcut,,Atajo de tubería,Raccourci tuyau,Kürzel: Rohr,Scorciatoia tubo,Atalho de cano
SETTINGS_CONTROLBINDING_BOX,Box Shortcut,,Atajo de caja,Raccourci boîte,Kürzel: Box,Scorciatoia scatola,Atalho de caixa
SETTINGS_CONTROLBINDING_CAMERA,Camera,,Cámara,Caméra,Kamera,Telecamera,Câmera
,,,,,,,
MAIN_MENU_PLAY,Play,,Jugar,Jouer,Spielen,Gioca,Jogar
MAIN_MENU_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações
MAIN_MENU_QUIT,Quit,,Salir,Quitter,Beenden,Esci,Sair
MAIN_MENU_CREDITS,Credits,,Créditos,Générique,Mitarbeitende,Riconoscimenti,Créditos
MAIN_MENU_COMMUNITY_DISCORD,Community Discord,,Discord de la comunidad,Communauté Discord,Community Discord,Discord della community,Discord
MAIN_MENU_MEOW,Meow,,Maullido,Miauler,Miau,Miao,Miau
MAIN_MENU_DELETEFILE,Terminate,,Borrar,Exterminer,Terminieren,Termina,Apagar
MAIN_MENU_DELETECONFIRMATION,"Are you sure you want to erase
save file {savefilenumber}?",,¿Seguro que quieres borrar el archivo de guardado {savefilenumber}?,Supprimer la sauvegarde {savefilenumber}&nbsp;?,Speicherstand&nbsp;{savefilenumber} wirklich löschen?,"Vuoi davvero cancellare
il file di salvataggio {savefilenumber}?","Tem certeza de que deseja
apagar o arquivo {savefilenumber}?"
SAVE_FILE_COMPLETION_PERCENT,{percent}% Complete,,{percent} % completado,Progression&nbsp;: {percent}&nbsp;%,{percent}&nbsp;% Fortschritt,Completamento: {percent}%,{percent}% concluído
,,,,,,,
POPUP_TRY_ABANDON_RUN,"Are you sure you want to abandon this adventure? You will lose the cats, items, food, money, and furniture you found.",,"¿Seguro que quieres abandonar esta aventura? Perderás los gatos, los objetos, la comida, el dinero y los muebles que hayas encontrado.","Voulez-vous vraiment abandonner cette aventure&nbsp;? Vous perdrez vos chats, objets, nourriture, argent, meubles.","Willst du dein Abenteuer wirklich abbrechen? Du verlierst sämtliche Katzen, Gegenstände, Futter, Geld und Möbel, die du gefunden hast.","Vuoi davvero abbandonare quest'avventura? Perderai i gatti, gli oggetti, il cibo, i soldi e i mobili che hai trovato.","Tem certeza de que deseja abandonar esta aventura? Você perderá gatos, itens, comida, dinheiro e móveis que encontrou."
POPUP_TRY_ABANDON_HOUSEBOSS,Are you sure you want to concede this fight? You will lose the cats participating in the fight.,,¿Seguro que quieres rendirte? Perderás los gatos que participen en la pelea.,Voulez-vous vraiment déclarer forfait&nbsp;? Vous perdrez les chats participant au combat.,"Willst du den Kampf wirklich aufgeben? Du verlierst sämtliche Katzen, die an dem Kampf teilgenommen haben.",Vuoi davvero rinunciare a questo combattimento? Perderai i gatti che partecipano al combattimento.,Tem certeza de que deseja desistir desta luta? Você perderá os gatos que estão lutando.
POPUP_TRY_SKIP_TUTORIAL,Are you sure you want to skip the tutorial?,,¿Seguro que quieres saltarte el tutorial?,Voulez-vous vraiment passer le didacticiel&nbsp;?,Willst du das Tutorial wirklich überspringen?,Vuoi davvero saltare il tutorial?,Tem certeza de que deseja pular o tutorial?
POPUP_TRY_SAVESCUM_BATTLE,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.
POPUP_TRY_SAVESCUM_HOUSEBOSS,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.
POPUP_TRY_SAVESCUM_EVENT,Are you sure you want to quit mid-event? You will have to redo the event,,¿Seguro que quieres abandonar a mitad del evento? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter au milieu d'un événement&nbsp;? Vous devrez rejouer l'événement depuis le début,Willst du wirklich mitten im Ereignis aufhören? Das Ereignis beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare l'evento a metà? Dovrai ripetere l'evento,Tem certeza de que deseja sair no meio do evento? Você precisará refazê-lo.
POPUP_TRY_SAVESCUM_WARNING_1,", and Steven will give you a warning when you return.","these get stapled on after the ""are you sure you want to quit mid fight string""",¡Y Steven te mostrará una advertencia cuando vuelvas!,", et Steven vous donnera un avertissement à votre retour."," und Steven wird böse sein, wenn du zurückkehrst.", e Steven ti infliggerà un'ammonizione al tuo ritorno., e Steven vai chamar sua atenção quando você voltar.
POPUP_TRY_SAVESCUM_WARNING_2,", and Steven will give you a [c:red]punishment[/c] when you return.",,¡Y Steven te [c:red]castigará[/c] cuando vuelvas!,", et Steven vous [c:red]punira[/c] à votre retour."," und Steven wird dich [c:red]bestrafen[/c], wenn du zurückkehrst.", e Steven ti infliggerà una [c:red]punizione[/c] al tuo ritorno., e Steven vai te dar uma [c:red]punição[/c] quando você voltar.
POPUP_TRY_SAVESCUM_COUNT,(You have save scummed 1 time already on this adventure),,(Ya has hecho trampas 1 vez en esta aventura).,(Vous avez déjà bidouillé votre sauvegarde 1&nbsp;fois durant cette aventure.),(Du hast während dieses Abenteuers bereits einmal betrogen),(Hai già effettuato salvataggi a ripetizione una volta in quest'avventura),(Você já recarregou 1 vez nesta aventura)
POPUP_TRY_SAVESCUM_COUNT_PLURAL,(You have save scummed {count} times already on this adventure),,(Ya has hecho trampas {count} veces en esta aventura).,(Vous avez déjà bidouillé votre sauvegarde {count} fois durant cette aventure.),(Du hast während dieses Abenteuers bereits {count}-mal betrogen),(Hai già effettuato salvataggi a ripetizione {count} volte in quest'avventura),(Você já recarregou {count} vezes nesta aventura)
,,,,,,,
ABILITY_EXPLOSIVESHOT_NAME,Explosive Shot,,Tiro explosivo,Tir explosif,Explosivschuss,Colpo Esplosivo,Disparo Explosivo
ABILITY_EXPLOSIVESHOT_DESC,Lob a puke projectile that does splash damage to neighboring units.,,Lanza un proyectil de vómito que inflige daño por metralla a las unidades cercanas.,Lance un projectile de vomi qui inflige des dégâts de zone aux unités adjacentes.,"Ein Kotzgeschoss, das Hindernisse ignoriert und bei benachbarten Einheiten Flächenschaden verursacht.",Spari un proiettile di vomito che infligge danno ad area alle unità vicine.,Lance um projétil de vômito em arco que causa dano de propagação em unidades vizinhas.
EABILITY_DOUBLEHIT_NAME,Double Hit,,Doble golpe,Coup double,Doppelschlag,Colpo Doppio,Golpe Duplo
EABILITY_DOUBLEHIT_DESC,A melee attack that hits twice.,,Un ataque cuerpo a cuerpo que golpea 2 veces.,Une attaque au corps-à-corps qui touche deux fois.,"Ein Nahkampfangriff, der zweimal trifft.",Un attacco corpo a corpo che colpisce due volte.,Um ataque corpo-a-corpo que golpeia duas vezes.
EABILITY_FLESHLAD_UPPERCUT_NAME,Uppercut,,Gancho,Uppercut,Kinnhaken,Montante,Upper
EABILITY_FLESHLAD_UPPERCUT_DESC,"Punch a unit, knocking it back 3 tiles and inflicting Bruise.
[s:.7](Castable once per turn.)[/s]",,"Le da un puñetazo a una unidad que la hace retroceder 3 casillas y le inflige moratón.
[s:.7](Se puede lanzar una vez por turno).[/s]","Un coup de poing qui repousse une unité de 3&nbsp;cases et lui inflige Contusion.
 [s:.7](Une fois par tour.)[/s]","Schlag eine Einheit, stoße sie 3&nbsp;Felder zurück und verursache Beulen bei ihr.
[s:.7](Einmal pro Zug verwendbar.)[/s]","Colpisci un'unità, respingendola indietro di 3 caselle e infliggendole Livido.
[s:.7](Lanciabile una volta per turno.)[/s]","Soque uma unidade, empurrando-a 3 espaços para trás e aplicando contusão.
[s:.7](Um lançamento por turno.)[/s]"
FAMILIAR_PHANTOMMASK_DESC,Invulnerable. Attack it to knock it foward in a straight line. It deals 5 damage to units it hits.,same as OBJECT_PETROCK_DESC but with the Invulnerable mention added to the beginning,Invulnerable. Se desplaza hacia delante en línea recta cuando la atacan. Inflige 5 de daño a las unidades que golpea.,Invulnérable. L'attaquer le projette en ligne droite. Inflige 5&nbsp;dégâts aux unités qu'il touche.,"Unverwundbar. Greif ihn an, um ihn in einer geraden Linie nach vorn zu schleudern. Verursacht 5&nbsp;Schaden bei Einheiten, die er trifft.",Invulnerabile. Attaccala per proiettarla in avanti in linea retta. Infligge 5 di danno alle unità che colpisce.,Invulnerável. Ataque-a para empurrá-la para frente em linha reta. Causa 5 de dano nas unidades que forem acertadas.
FAMILIAR_FLY_STEEL_DESC,Invulnerable.,,Invulnerable.,Invulnérable.,Unverwundbar.,Invulnerabile.,Invulnerabilidade.
